symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
USDCHF,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,25474.941086155188,USDCHF,7855944.590280367,0.7868650000000001,0.784095,27655.27316004421,2180.332073889023,96,eod,,pre_ret=+0.220% rank=6/6 (strongest) vol=0.00035 wt=0.36 notional_x=7.9x,round_1,2026-05-17 22:00:00,SHORT,7.86,0.352,2.5475,1440,Held to round-end (EOD)
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,27419.776715978333,EURUSD,8764639.452014042,1.162315,1.165975,27598.869836808753,179.09312083041925,96,eod,,pre_ret=-0.125% rank=2/6 (weakest) vol=0.00031 wt=0.40 notional_x=8.8x,round_1,2026-05-17 22:00:00,LONG,8.76,0.3149,2.742,1440,Held to round-end (EOD)
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,45897.30117921811,GBPUSD,5379415.957705592,1.3319750000000001,1.3433650000000001,46000.52385237424,103.22267315612679,96,eod,,pre_ret=-0.282% rank=1/6 (weakest) vol=0.00051 wt=0.24 notional_x=5.4x,round_1,2026-05-17 22:00:00,LONG,5.38,0.8551,4.5897,1440,Held to round-end (EOD)
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-11030.79934523835,AUDUSD,4922884.206866849,0.715775,0.71736,-10901.151154879599,129.64819035875152,96,eod,,pre_ret=+0.372% rank=6/6 (strongest) vol=0.00067 wt=0.22 notional_x=4.9x,round_1,2026-05-24 22:00:00,SHORT,4.92,-0.2214,-1.1031,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,2399.6210301313176,USDJPY,10876399.562284783,158.88049999999998,158.91950000000003,2669.8026688576356,270.18163872631794,96,eod,,pre_ret=-0.149% rank=2/6 (weakest) vol=0.00030 wt=0.49 notional_x=10.9x,round_1,2026-05-24 22:00:00,LONG,10.88,0.0245,0.24,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-210.7509483995088,USDCHF,6200716.230848368,0.7827550000000001,0.78277,118.82484744492724,329.575795844436,96,eod,,pre_ret=-0.205% rank=1/6 (weakest) vol=0.00053 wt=0.28 notional_x=6.2x,round_1,2026-05-24 22:00:00,LONG,6.2,0.0019,-0.0211,1440,Held to round-end (EOD)
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-4294.043365485935,GBPUSD,6662793.140660229,1.3449250000000001,1.345755,-4111.8414088125855,182.20195667334949,96,eod,,pre_ret=+0.303% rank=6/6 (strongest) vol=0.00050 wt=0.30 notional_x=6.7x,round_1,2026-05-31 22:00:00,SHORT,6.66,-0.0617,-0.4294,1440,Held to round-end (EOD)
USDCAD,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,24059.370077507414,USDCAD,7897545.53838261,1.379925,1.3841550000000002,24209.009639915374,149.63956240796105,96,eod,,pre_ret=-0.064% rank=2/6 (weakest) vol=0.00042 wt=0.36 notional_x=7.9x,round_1,2026-05-31 22:00:00,LONG,7.9,0.3065,2.4059,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,47020.174192120845,USDCHF,7439661.320957163,0.781695,0.7866550000000001,47206.03323796127,185.85904584042493,96,eod,,pre_ret=-0.183% rank=1/6 (weakest) vol=0.00045 wt=0.34 notional_x=7.4x,round_1,2026-05-31 22:00:00,LONG,7.44,0.6345,4.702,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-9599.27524407648,USDCHF,7006568.371069954,0.7968550000000001,0.7979050000000001,-9232.415922122345,366.85932195413443,96,eod,,pre_ret=+1.163% rank=6/6 (strongest) vol=0.00076 wt=0.32 notional_x=7.0x,round_1,2026-06-07 22:00:00,SHORT,7.01,-0.1318,-0.9599,1440,Held to round-end (EOD)
GBPUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,7630.089903605788,GBPUSD,9126309.363061922,1.332865,1.334005,7805.736270284234,175.64636667844545,96,eod,,pre_ret=-1.187% rank=2/6 (weakest) vol=0.00058 wt=0.41 notional_x=9.1x,round_1,2026-06-07 22:00:00,LONG,9.13,0.0855,0.763,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,4554.128429055043,AUDUSD,5867122.265868122,0.70376,0.7043250000000001,4710.304763293789,156.1763342387457,96,eod,,pre_ret=-1.578% rank=1/6 (weakest) vol=0.00091 wt=0.27 notional_x=5.9x,round_1,2026-06-07 22:00:00,LONG,5.87,0.0803,0.4554,1440,Held to round-end (EOD)
