ts,0
2026-05-17 22:15:00,993897.9631529963
2026-05-17 22:30:00,996546.5484019513
2026-05-17 22:45:00,997503.1175829917
2026-05-17 23:00:00,996246.3684805885
2026-05-17 23:15:00,991970.2401242862
2026-05-17 23:30:00,983515.7216872592
2026-05-17 23:45:00,982002.5751091093
2026-05-18 00:00:00,985358.0552313413
2026-05-18 00:15:00,984163.4685218692
2026-05-18 00:30:00,975579.5349098698
2026-05-18 00:45:00,975395.6246917103
2026-05-18 01:00:00,972810.9346201923
2026-05-18 01:15:00,974545.1895520925
2026-05-18 01:30:00,976746.4096831951
2026-05-18 01:45:00,981829.8194264321
2026-05-18 02:00:00,982647.8748466653
2026-05-18 02:15:00,984410.8500624925
2026-05-18 02:30:00,982995.7361968923
2026-05-18 02:45:00,979350.6964215693
2026-05-18 03:00:00,980420.7367171992
2026-05-18 03:15:00,984934.0072497795
2026-05-18 03:30:00,986221.7761129227
2026-05-18 03:45:00,980433.4409790897
2026-05-18 04:00:00,987843.0586402847
2026-05-18 04:15:00,981668.1105972859
2026-05-18 04:30:00,987408.857196448
2026-05-18 04:45:00,984140.649976324
2026-05-18 05:00:00,984058.8051337758
2026-05-18 05:15:00,989373.8031095369
2026-05-18 05:30:00,991294.2229965637
2026-05-18 05:45:00,993274.9125570414
2026-05-18 06:00:00,1007645.9771805169
2026-05-18 06:15:00,1017103.8708752927
2026-05-18 06:30:00,1023042.4823230784
2026-05-18 06:45:00,1028064.7254239725
2026-05-18 07:00:00,1017661.5674341666
2026-05-18 07:15:00,1029389.3591333952
2026-05-18 07:30:00,1028996.8835013293
2026-05-18 07:45:00,1021393.9375679303
2026-05-18 08:00:00,1025279.0203043415
2026-05-18 08:15:00,1040210.018705601
2026-05-18 08:30:00,1041861.0061766627
2026-05-18 08:45:00,1050789.9145769367
2026-05-18 09:00:00,1041695.6916714638
2026-05-18 09:15:00,1041512.1225382476
2026-05-18 09:30:00,1038620.357127663
2026-05-18 09:45:00,1029707.6115661564
2026-05-18 10:00:00,1030641.8953642368
2026-05-18 10:15:00,1032075.418187771
2026-05-18 10:30:00,1027236.6670551308
2026-05-18 10:45:00,1013260.9461409749
2026-05-18 11:00:00,1019963.7834398187
2026-05-18 11:15:00,1021123.9418741419
2026-05-18 11:30:00,1064187.3900307026
2026-05-18 11:45:00,1049839.6006532654
2026-05-18 12:00:00,1061450.7243904518
2026-05-18 12:15:00,1061949.1470264588
2026-05-18 12:30:00,1082317.0711547618
2026-05-18 12:45:00,1078540.725393117
2026-05-18 13:00:00,1073353.5029844628
2026-05-18 13:15:00,1071133.1312564588
2026-05-18 13:30:00,1064360.3570978856
2026-05-18 13:45:00,1072116.7740021283
2026-05-18 14:00:00,1056846.851112676
2026-05-18 14:15:00,1066107.1793166648
2026-05-18 14:30:00,1058054.9706250764
2026-05-18 14:45:00,1061601.0610103437
2026-05-18 15:00:00,1055533.5096920773
2026-05-18 15:15:00,1059254.8959144067
2026-05-18 15:30:00,1072920.746597822
2026-05-18 15:45:00,1083674.6500267785
2026-05-18 16:00:00,1108239.26454514
2026-05-18 16:15:00,1083533.0934659853
2026-05-18 16:30:00,1088010.688769335
2026-05-18 16:45:00,1087830.1099006287
2026-05-18 17:00:00,1086589.0773431172
2026-05-18 17:15:00,1088979.88695543
2026-05-18 17:30:00,1088449.87909029
2026-05-18 17:45:00,1081368.4742611826
2026-05-18 18:00:00,1074249.8693883517
2026-05-18 18:15:00,1063143.8093693422
2026-05-18 18:30:00,1059712.1479383889
2026-05-18 18:45:00,1044079.409903168
2026-05-18 19:00:00,1079634.5906487636
2026-05-18 19:15:00,1081554.0400988765
2026-05-18 19:30:00,1090121.3154572463
2026-05-18 19:45:00,1090476.2302520298
2026-05-18 20:00:00,1102635.7081526378
2026-05-18 20:15:00,1106169.0423054267
2026-05-18 20:30:00,1105853.372413185
2026-05-18 20:45:00,1101072.1550250314
2026-05-18 21:00:00,1096363.5400895935
2026-05-18 21:15:00,1097174.5096401568
2026-05-18 21:30:00,1103386.0694178205
2026-05-18 21:45:00,1104748.882508121
2026-05-18 22:00:00,1104328.6428061752
