round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_1,2026-05-03 22:00:00,2026-05-04 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
round_2,2026-05-04 22:00:00,2026-05-05 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
round_3,2026-05-05 22:00:00,2026-05-06 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-06 22:00:00,2026-05-08 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
round_1,2026-05-10 22:00:00,2026-05-11 22:00:00,0.38751240465688674,0.0855241995141038,-0.367820484238246,7,71.42857142857143,1003875.1240465688,3.0,100.0,True,42.0,29.49229558632927
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,7.411361215347956,0.19510332009109616,-2.312091601488908,14,85.71428571428571,1074113.6121534796,21.999999999999996,90.0,False,93.5,33.34113911052023
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,0.19599615125063252,0.04266173263326338,-0.5437611290538436,8,75.0,1001959.9615125064,3.0,100.0,True,40.0,27.188719768180533
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,9.54680901890712,0.13013933563106972,-1.6399266154448089,15,80.0,1095468.0901890711,22.0,100.0,True,97.0,36.43677732091827
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,6.6474868369649665,0.1003144753349042,-3.440643718294367,10,90.0,1066474.8683696496,22.000000000000004,100.0,True,91.0,34.13714422813132
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,5.723337885198254,0.18059067293602932,-2.4105267135725805,14,78.57142857142857,1057233.3788519825,22.000000000000004,100.0,True,94.0,33.644757512602894
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,-0.5978399783231669,-0.07810962974865254,-0.7307313175540786,9,33.333333333333336,994021.6002167683,3.0,100.0,True,20.0,20.566420830108044
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,2.0299652429064174,0.022715296536540534,-7.169935060335764,16,68.75,1020299.6524290642,21.999999999999996,100.0,True,79.0,26.481250237811157
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-1.345012143268276,-0.034497388936657464,-2.8734886695201634,5,20.0,986549.8785673173,22.000000000000004,100.0,True,16.0,21.90259875245131
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,2.412481693675783,0.2073447543759781,-0.6286181457084927,7,71.42857142857143,1024124.8169367579,22.0,100.0,True,100.0,31.594444463716776
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,0.24010280245041482,0.03359746340018636,-0.5914269812225648,10,70.0,1002401.0280245042,3.0,100.0,True,40.0,26.759231084541224
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,5.073196065643426,0.05934777103613298,-6.417953771017981,15,80.0,1050731.9606564343,22.0,100.0,True,81.0,30.55593273210435
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,4.205075205784681,0.10816621821952262,-3.010508459065464,13,69.23076923076923,1042050.7520578468,22.0,100.0,True,91.0,32.49197637518945
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,-0.10739016322990347,0.0006581433364480097,-3.9497337584758263,7,42.857142857142854,998926.0983677009,22.000000000000004,100.0,True,15.0,24.365273988790094
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,-1.0445812310968416,-0.15379561476653847,-1.2171466933079245,10,40.0,989554.1876890316,3.0,100.0,True,17.0,19.08622113423602
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,1.131007737237688,0.019008780957328473,-5.257512740509174,14,42.857142857142854,1011310.0773723769,22.0,100.0,True,54.0,25.95351755285643
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,1.511252786229611,0.029171761717853777,-4.598142855056553,9,55.55555555555556,1015112.5278622962,22.0,100.0,True,68.0,26.826743607994935
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,-1.686594493382354,-0.08938370290261385,-3.4458663108192344,6,33.333333333333336,983134.0550661765,22.000000000000004,100.0,True,11.0,18.833318762878775
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,0.31788723105696803,0.04886255645791165,-0.4776521404278089,11,72.72727272727273,1003178.8723105696,3.0,100.0,True,40.0,27.594001063571287
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.3032970724788253,0.07244685621964388,-1.3727500976554396,0,0.0,1003032.9707247883,22.0,100.0,True,36.0,28.62873824706906
