round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline_clean,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,3.5233705588725295,0.14950104598915848,-2.0721465488771296,3,100.0,1035233.7055887254,18.0,True,32.1555374088792
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,-0.5530389968363192,-0.05815136892987327,-1.0806947481279527,4,50.0,994469.6100316368,13.2,True,21.54320004350172
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,2.896404074990566,0.09209764545324653,-0.8263738663784048,3,100.0,1028964.0407499057,18.0,True,31.508409045198963
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,6.955242853745003,0.11723843379376146,-3.9894470963633855,3,66.66666666666667,1069552.42853745,18.0,True,34.270252933166994
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,2.905092907896245,0.07613667923323118,-3.175468807072035,3,100.0,1029050.9290789624,18.0,True,30.364078676128123
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,1.1563996769674567,0.0724587936192206,-0.736502033387243,4,100.0,1011563.9967696746,13.2,True,29.321944149830163
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,2.2761219402812394,0.03610219656237221,-4.557976509234141,3,100.0,1022761.2194028123,18.0,True,27.714698709930357
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,0.2593453417675917,0.018810067282266228,-1.4200539288146685,3,66.66666666666667,1002593.4534176759,18.0,True,25.909037014028424
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,3.6425731048564503,0.21861571732348864,-0.705605964146816,3,100.0,1036425.7310485644,18.0,True,32.443960278777496
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,-0.6624755651568615,-0.03220395538815478,-1.637372350757882,4,25.0,993375.2443484314,13.2,True,22.680463482368772
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,4.035628410974956,0.05601759174565221,-6.351457920757408,3,100.0,1040356.2841097496,18.0,True,29.67310078685147
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,1.9865233037200003,0.05689195626925644,-3.3329190562759847,4,50.0,1019865.2330372,22.0,True,28.735226267625425
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,0.3540549647279567,0.016452765484082994,-2.8283303675508242,3,33.333333333333336,1003540.5496472797,18.0,True,25.646227194381094
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,-1.9110265073931654,-0.1116495527768987,-2.1781273429876458,4,0.0,980889.7349260683,13.2,True,18.335562343376637
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,1.0520564257579634,0.022980879618878156,-4.124701692947408,3,66.66666666666667,1010520.5642575797,18.0,True,26.26677822503237
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,1.0034255778686996,0.02390505453744832,-3.862283701911695,3,66.66666666666667,1010034.255778687,18.0,True,26.31830807609375
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,0.32957325601510323,0.0230249229371797,-1.0982008437666058,3,33.333333333333336,1003295.7325601511,18.0,True,26.217217299504565
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,-0.9685495025043456,-0.048990967979995345,-2.200907647863126,4,0.0,990314.5049749565,13.2,True,21.54233080206772
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.3690985701469307,0.10022309105207508,-1.1198264936614466,3,66.66666666666667,1003690.9857014692,18.0,True,30.09039502505363
