symbol,side,sleeve,open_ts,close_ts,pnl,pair,round_kind,round_start
AUDUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,7966.041969657624,AUDUSD,round_2,2026-05-11 22:00:00
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,26845.427659730074,USDJPY,round_2,2026-05-11 22:00:00
USDCHF,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,24020.50541976671,USDCHF,round_2,2026-05-11 22:00:00
AUDUSD,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,27784.602632872204,AUDUSD,finals,2026-05-13 22:00:00
USDJPY,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,36017.799757690416,USDJPY,finals,2026-05-13 22:00:00
USDCHF,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,19524.14839302596,USDCHF,finals,2026-05-13 22:00:00
USDCHF,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,25474.941086155188,USDCHF,round_1,2026-05-17 22:00:00
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,27419.776715978333,EURUSD,round_1,2026-05-17 22:00:00
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,45897.30117921811,GBPUSD,round_1,2026-05-17 22:00:00
AUDUSD,1,css,2026-05-19 00:30:00,2026-05-19 04:30:00,-4327.532156252679,AUDUSD/USDCAD,round_2,2026-05-18 22:00:00
GBPUSD,-1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,13853.959568315398,GBPUSD,round_2,2026-05-18 22:00:00
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,15346.606708547128,USDJPY,round_2,2026-05-18 22:00:00
USDCHF,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,40726.73850952782,USDCHF,round_2,2026-05-18 22:00:00
AUDUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,126.80207359253103,AUDUSD,finals,2026-05-20 22:00:00
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,21988.57988675051,USDCAD,finals,2026-05-20 22:00:00
USDCHF,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,-4812.212712156207,USDCHF,finals,2026-05-20 22:00:00
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-11030.79934523835,AUDUSD,round_1,2026-05-24 22:00:00
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,2399.6210301313176,USDJPY,round_1,2026-05-24 22:00:00
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-210.7509483995088,USDCHF,round_1,2026-05-24 22:00:00
USDCHF,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-13824.21703593423,USDCHF,round_2,2026-05-25 22:00:00
USDJPY,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,27616.55549785399,USDJPY,round_2,2026-05-25 22:00:00
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,2912.8444399039704,USDCAD,round_2,2026-05-25 22:00:00
USDCHF,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,27480.521547021912,USDCHF,finals,2026-05-27 22:00:00
