round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,12.023321520440877,0.10530794625886239,-8.432296607163426,18,77.77777777777777,1120233.2152044089,24.693414556758846,100.0,True,85.0,37.151480573234096
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,19.51837807790664,0.1375644756251394,-6.414235860087503,6,50.0,1195183.7807790665,6.0,40.0,False,82.0,41.200729275521525
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,11.698905507963243,0.05866561663614212,-10.518734869099589,11,81.81818181818181,1116989.0550796324,21.999999999999996,40.0,False,78.0,33.04470445701644
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,-5.485314854330337,-0.031827046148081385,-12.835031742573666,16,37.5,945146.8514566966,9.0,20.0,False,3.0,16.143672533178645
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,-7.933229970140754,-0.06036109296791542,-13.436417083895458,19,57.89473684210526,920667.7002985924,25.12360479556009,100.0,True,5.0,14.413221809921382
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,-10.913897007305827,-0.08506264720846797,-12.923377097856804,7,28.571428571428573,890861.0299269417,6.0,0.0,False,0.0,9.668633169784002
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,-6.2740712613331695,-0.02968285491717224,-19.461213219125117,13,46.15384615384615,937259.2873866683,21.999999999999996,60.0,False,5.0,14.704825388339401
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-10.408813317568244,-0.1365203515360451,-12.857527155297355,16,62.5,895911.8668243176,9.0,20.0,False,1.0,9.285201604407625
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,-7.818511140286555,-0.044260600253807736,-17.218336731871066,13,38.46153846153846,921814.8885971345,24.23289298751692,100.0,True,7.0,14.731261679328366
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,-9.708867240967878,-0.0749691587043981,-16.599284004285096,8,25.0,902911.3275903212,6.0,20.0,False,1.0,10.465442395459815
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,-14.422121575139101,-0.0509759674044211,-23.75759823769038,14,42.857142857142854,855778.784248609,22.0,20.0,False,1.0,7.292076791528016
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,-6.295256329633148,-0.03761030419569682,-13.356337667902796,19,26.31578947368421,937047.4367036686,9.0,80.0,False,6.0,15.209354709286536
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,-3.0119447218464823,-0.0648396771390535,-6.093237382090344,7,42.857142857142854,969880.5527815352,25.051079400988073,100.0,True,5.0,18.735669230441236
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,6.725285739113618,0.04122996276758453,-15.047621164795832,7,42.857142857142854,1067252.8573911362,6.0,60.0,False,79.0,28.012054981039388
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,15.797859124605607,0.041877188056823916,-25.388901287203826,21,38.095238095238095,1157978.5912460561,22.0,40.0,False,78.0,32.84402559698455
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,-20.663102952710076,-0.09359245644964258,-24.775310672609997,20,35.0,793368.9704728993,9.0,60.0,False,3.0,0.6399085097293162
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,-1.686594493382354,-0.08938370290261385,-3.4458663108192344,6,33.333333333333336,983134.0550661765,22.000000000000004,100.0,True,11.0,18.833318762878775
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,-13.777233672395163,-0.05372517078710956,-28.004323835203625,8,25.0,862227.6632760484,6.0,80.0,False,4.0,6.969029314687365
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.3032970724788253,0.07244685621964388,-1.3727500976554396,5,80.0,1003032.9707247883,22.0,100.0,True,36.0,28.62873824706906
