round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,7.411361215347956,0.19510332009109616,-2.312091601488908,14,85.71428571428571,1074113.6121534796,21.999999999999996,90.0,False,93.5,33.34113911052023
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,7.067785110539293,0.10666045585209656,-1.7383059860528016,5,100.0,1070677.851105393,21.999999999999996,100.0,True,97.0,34.68670367946958
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,6.6474868369649665,0.1003144753349042,-3.440643718294367,10,90.0,1066474.8683696496,22.000000000000004,100.0,True,91.0,34.13714422813132
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,5.723337885198254,0.18059067293602932,-2.4105267135725805,14,78.57142857142857,1057233.3788519825,22.000000000000004,100.0,True,94.0,33.644757512602894
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,1.7084077412389709,0.019937509861307517,-7.169935060335764,5,80.0,1017084.0774123897,21.999999999999996,100.0,True,65.0,26.11727065288229
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-0.7613769972513951,-0.018190786660642045,-2.5425458890084296,5,20.0,992386.2300274861,22.0,100.0,True,16.0,23.176114885540656
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,2.412481693675783,0.2073447543759781,-0.6286181457084927,7,71.42857142857143,1024124.8169367579,22.0,100.0,True,100.0,31.594444463716776
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,6.020723524441118,0.060376792643811156,-8.510700124273407,5,100.0,1060207.2352444113,22.0,100.0,True,83.0,30.956741080658325
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,4.205075205784681,0.10816621821952262,-3.010508459065464,13,69.23076923076923,1042050.7520578468,22.0,100.0,True,91.0,32.49197637518945
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,-0.10739016322990347,0.0006581433364480097,-3.9497337584758263,7,42.857142857142854,998926.0983677009,22.000000000000004,100.0,True,15.0,24.365273988790094
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,2.067358067385161,0.033112179688553636,-4.769811027493631,5,80.0,1020673.5806738517,22.0,100.0,True,84.0,27.38728797747325
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,1.511252786229611,0.029171761717853777,-4.598142855056553,9,55.55555555555556,1015112.5278622962,22.0,100.0,True,68.0,26.826743607994935
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,-1.686594493382354,-0.08938370290261385,-3.4458663108192344,6,33.333333333333336,983134.0550661765,22.000000000000004,100.0,True,11.0,18.833318762878775
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.3032970724788253,0.07244685621964388,-1.3727500976554396,5,80.0,1003032.9707247883,22.0,100.0,True,36.0,28.62873824706906
