round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,7.411361215347956,0.19510332009109616,-2.312091601488908,14,85.71428571428571,1074113.6121534796,21.999999999999996,90.0,False,93.5,33.34113911052023
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,11.745384441583973,0.10983761633143412,-6.390723918087304,6,50.0,1117453.8444158398,6.0,50.0,False,82.5,35.76316052139568
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,22.767584799382767,0.10217241646160141,-7.277888688185508,16,62.5,1227675.8479938277,28.0,0.0,False,80.0,43.34562605634011
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,6.6474868369649665,0.1003144753349042,-3.440643718294367,10,90.0,1066474.8683696496,22.000000000000004,100.0,True,91.0,34.13714422813132
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,5.723337885198254,0.18059067293602932,-2.4105267135725805,14,78.57142857142857,1057233.3788519825,22.000000000000004,100.0,True,94.0,33.644757512602894
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,-4.813667730077109,-0.0677264777383819,-7.13347139453383,4,50.0,951863.3226992289,6.0,50.0,False,2.5,15.674087992846855
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,-2.4476321487405417,-0.011194774689944944,-14.591490864493839,14,50.0,975523.6785125945,24.999999999999996,70.0,False,5.5,19.038195131710296
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-1.345012143268276,-0.034497388936657464,-2.8734886695201634,5,20.0,986549.8785673173,22.000000000000004,100.0,True,16.0,21.90259875245131
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,2.412481693675783,0.2073447543759781,-0.6286181457084927,7,71.42857142857143,1024124.8169367579,22.0,100.0,True,100.0,31.594444463716776
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,-7.582737543519713,-0.0984557825965134,-13.334945310895229,7,42.857142857142854,924172.6245648029,6.0,30.0,False,1.5,11.269052793076249
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,-18.924669461562882,-0.08174311772170612,-27.080872890179506,18,44.44444444444444,810753.3053843712,25.0,20.0,False,1.0,2.1034445572937503
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,4.205075205784681,0.10816621821952262,-3.010508459065464,13,69.23076923076923,1042050.7520578468,22.0,100.0,True,91.0,32.49197637518945
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,-0.10739016322990347,0.0006581433364480097,-3.9497337584758263,7,42.857142857142854,998926.0983677009,22.000000000000004,100.0,True,15.0,24.365273988790094
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,-2.582788003319747,-0.0015372063985200901,-19.230821082772575,10,30.0,974172.1199668025,6.0,40.0,False,4.0,18.730564915334288
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,-2.045828145629991,0.010816470077939509,-34.35276242137234,31,35.483870967741936,979541.7185437001,25.0,10.0,False,4.5,17.45582943875013
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,1.511252786229611,0.029171761717853777,-4.598142855056553,9,55.55555555555556,1015112.5278622962,22.0,100.0,True,68.0,26.826743607994935
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,-1.686594493382354,-0.08938370290261385,-3.4458663108192344,6,33.333333333333336,983134.0550661765,22.000000000000004,100.0,True,11.0,18.833318762878775
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,-12.283346308184928,-0.06264155264723378,-23.236453918275814,11,27.272727272727273,877166.5369181507,6.0,20.0,False,1.0,8.284111864167489
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.3032970724788253,0.07244685621964388,-1.3727500976554396,5,80.0,1003032.9707247883,22.0,100.0,True,36.0,28.62873824706906
