ts,equity
2026-05-11 00:00:00,1000000.0
2026-05-11 00:15:00,1000000.0
2026-05-11 00:30:00,1000000.0
2026-05-11 00:45:00,1000000.0
2026-05-11 01:00:00,1000000.0
2026-05-11 01:15:00,1000000.0
2026-05-11 01:30:00,1000000.0
2026-05-11 01:45:00,1000000.0
2026-05-11 02:00:00,1000000.0
2026-05-11 02:15:00,1000000.0
2026-05-11 02:30:00,1000000.0
2026-05-11 02:45:00,1000000.0
2026-05-11 03:00:00,1000000.0
2026-05-11 03:15:00,1000000.0
2026-05-11 03:30:00,1000000.0
2026-05-11 03:45:00,1000000.0
2026-05-11 04:00:00,1000000.0
2026-05-11 04:15:00,1000000.0
2026-05-11 04:30:00,1000000.0
2026-05-11 04:45:00,1000000.0
2026-05-11 05:00:00,1000000.0
2026-05-11 05:15:00,1000000.0
2026-05-11 05:30:00,1000000.0
2026-05-11 05:45:00,1000000.0
2026-05-11 06:00:00,1000000.0
2026-05-11 06:15:00,1000000.0
2026-05-11 06:30:00,1000000.0
2026-05-11 06:45:00,1000000.0
2026-05-11 07:00:00,1000000.0
2026-05-11 07:15:00,1000000.0
2026-05-11 07:30:00,1000000.0
2026-05-11 07:45:00,1000000.0
2026-05-11 08:00:00,1000000.0
2026-05-11 08:15:00,1000000.0
2026-05-11 08:30:00,1000000.0
2026-05-11 08:45:00,1000000.0
2026-05-11 09:00:00,1000000.0
2026-05-11 09:15:00,1000000.0
2026-05-11 09:30:00,1000000.0
2026-05-11 09:45:00,1000000.0
2026-05-11 10:00:00,1000000.0
2026-05-11 10:15:00,1000000.0
2026-05-11 10:30:00,1000000.0
2026-05-11 10:45:00,1000000.0
2026-05-11 11:00:00,1000000.0
2026-05-11 11:15:00,1000000.0
2026-05-11 11:30:00,1000000.0
2026-05-11 11:45:00,1000000.0
2026-05-11 12:00:00,1000000.0
2026-05-11 12:15:00,1000000.0
2026-05-11 12:30:00,1000000.0
2026-05-11 12:45:00,1000000.0
2026-05-11 13:00:00,1000000.0
2026-05-11 13:15:00,1000000.0
2026-05-11 13:30:00,1000000.0
2026-05-11 13:45:00,1000000.0
2026-05-11 14:00:00,1000000.0
2026-05-11 14:15:00,1000000.0
2026-05-11 14:30:00,1000000.0
2026-05-11 14:45:00,1000000.0
2026-05-11 15:00:00,1000000.0
2026-05-11 15:15:00,1000000.0
2026-05-11 15:30:00,1000000.0
2026-05-11 15:45:00,1000000.0
2026-05-11 16:00:00,1000000.0
2026-05-11 16:15:00,1000000.0
2026-05-11 16:30:00,1000000.0
2026-05-11 16:45:00,1000000.0
2026-05-11 17:00:00,1000000.0
2026-05-11 17:15:00,1000000.0
2026-05-11 17:30:00,1000000.0
2026-05-11 17:45:00,1000000.0
2026-05-11 18:00:00,1000000.0
2026-05-11 18:15:00,1000000.0
2026-05-11 18:30:00,1000000.0
2026-05-11 18:45:00,1000000.0
2026-05-11 19:00:00,1000000.0
2026-05-11 19:15:00,1000000.0
2026-05-11 19:30:00,1000000.0
2026-05-11 19:45:00,1000000.0
2026-05-11 20:00:00,1000000.0
2026-05-11 20:15:00,1000000.0
2026-05-11 20:30:00,1000000.0
2026-05-11 20:45:00,1000000.0
2026-05-11 21:00:00,1000000.0
2026-05-11 21:15:00,1000000.0
2026-05-11 21:30:00,1000000.0
2026-05-11 21:45:00,1000000.0
2026-05-11 22:00:00,1000000.0
2026-05-11 22:15:00,1000000.0
2026-05-11 22:30:00,1000000.0
2026-05-11 22:45:00,1000000.0
2026-05-11 23:00:00,1000000.0
2026-05-11 23:15:00,1000000.0
2026-05-11 23:30:00,1000000.0
2026-05-11 23:45:00,1000000.0
2026-05-12 00:00:00,1000000.0
2026-05-12 00:15:00,1000000.0
2026-05-12 00:30:00,1000000.0
2026-05-12 00:45:00,1000000.0
2026-05-12 01:00:00,1000000.0
2026-05-12 01:15:00,1000000.0
2026-05-12 01:30:00,1000000.0
2026-05-12 01:45:00,1000000.0
2026-05-12 02:00:00,1000000.0
2026-05-12 02:15:00,1000000.0
2026-05-12 02:30:00,1000000.0
2026-05-12 02:45:00,1000000.0
2026-05-12 03:00:00,1000000.0
2026-05-12 03:15:00,1000000.0
2026-05-12 03:30:00,1000000.0
2026-05-12 03:45:00,1000000.0
2026-05-12 04:00:00,1000000.0
2026-05-12 04:15:00,1000000.0
2026-05-12 04:30:00,1000000.0
2026-05-12 04:45:00,1000000.0
2026-05-12 05:00:00,1000000.0
2026-05-12 05:15:00,1000000.0
2026-05-12 05:30:00,1000000.0
2026-05-12 05:45:00,1000000.0
2026-05-12 06:00:00,1000000.0
2026-05-12 06:15:00,999970.4971546276
2026-05-12 06:30:00,999367.1234079719
2026-05-12 06:45:00,998342.5264796888
2026-05-12 07:00:00,997306.5451410913
2026-05-12 07:15:00,997272.3919101486
2026-05-12 07:30:00,995485.0394908105
2026-05-12 07:45:00,995206.819490385
2026-05-12 08:00:00,992562.6713173593
2026-05-12 08:15:00,994802.0656031505
2026-05-12 08:30:00,993191.4694844076
2026-05-12 08:45:00,996388.8491979566
2026-05-12 09:00:00,995918.1904448497
2026-05-12 09:15:00,996667.8665642304
2026-05-12 09:30:00,996556.9043763041
2026-05-12 09:45:00,996434.8117818141
2026-05-12 10:00:00,996744.4931427368
2026-05-12 10:15:00,998039.8150089746
2026-05-12 10:30:00,997178.4423787121
2026-05-12 10:45:00,995817.8783442824
2026-05-12 11:00:00,995616.8292005473
2026-05-12 11:15:00,996145.1166398791
2026-05-12 11:30:00,997996.7343403327
2026-05-12 11:45:00,996856.4713456713
2026-05-12 12:00:00,996239.6649100151
2026-05-12 12:15:00,996110.0581471329
2026-05-12 12:30:00,996210.541186549
2026-05-12 12:45:00,997846.3354102343
2026-05-12 13:00:00,994754.3689300035
2026-05-12 13:15:00,993757.2447008004
2026-05-12 13:30:00,992763.1293886874
