symbol,0
BTCUSD,11921
ETHUSD,396
SOLUSD,161
XRPUSD,72
BARUSD,22
EURCHF,16
XAGUSD,15
EURGBP,13
USDCHF,12
USDCAD,7
AUDUSD,5
GBPUSD,5
EURUSD,3
USDJPY,1
